system:index,bio01_temp,bio12_precip,bio15_precip_season,elevation,label,landforms,soil_clay,soil_oc,soil_ph,.geo
160_0,141.0,1123.0,20.0,352,141,22,17,7,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
165_0,162.0,1320.0,18.0,184,123,31,20,6,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
166_0,147.0,1472.0,18.0,449,141,21,16,7,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
172_0,163.0,1147.0,25.0,158,141,31,16,4,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
173_0,135.0,1132.0,24.0,389,122,21,15,4,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
175_0,167.0,1252.0,18.0,66,61,41,44,3,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
177_0,139.0,1151.0,22.0,444,141,21,14,4,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
179_0,162.0,1328.0,18.0,193,121,21,16,6,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
186_0,137.0,1199.0,20.0,628,141,21,16,4,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
187_0,143.0,1164.0,17.0,158,176,41,18,3,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
188_0,160.0,1417.0,18.0,147,122,21,16,5,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
193_0,162.0,1147.0,26.0,154,176,31,17,2,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
196_0,153.0,1346.0,23.0,448,142,32,15,7,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
197_0,164.0,1345.0,18.0,101,123,34,15,2,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
200_0,146.0,1176.0,24.0,360,121,34,19,3,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
201_0,142.0,1203.0,23.0,457,141,31,16,3,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
202_0,147.0,1156.0,26.0,349,141,21,16,5,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
205_0,143.0,1231.0,19.0,431,141,21,17,5,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
206_0,157.0,1446.0,17.0,283,141,12,14,8,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
210_0,163.0,1256.0,18.0,80,190,34,30,5,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
211_0,164.0,1346.0,16.0,105,142,21,14,5,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
212_0,158.0,1234.0,20.0,124,142,31,19,7,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
217_0,137.0,1185.0,20.0,588,141,32,17,8,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
221_0,166.0,1305.0,16.0,107,142,24,15,5,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
223_0,162.0,1360.0,15.0,153,142,24,13,4,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
226_0,137.0,1258.0,20.0,547,141,24,13,4,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
229_0,163.0,1341.0,18.0,158,176,21,18,3,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
234_0,155.0,1174.0,24.0,243,142,21,18,5,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
235_0,135.0,1228.0,20.0,626,141,22,17,7,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
236_0,155.0,1144.0,18.0,133,176,34,15,2,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
240_0,150.0,1117.0,28.0,297,141,22,17,6,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
244_0,143.0,1138.0,19.0,197,141,31,21,6,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
245_0,156.0,1301.0,19.0,286,142,21,18,7,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
247_0,142.0,1139.0,20.0,297,141,21,13,4,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
248_0,163.0,1373.0,16.0,115,142,21,15,4,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
249_0,154.0,1131.0,20.0,161,176,31,18,2,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
250_0,158.0,1247.0,25.0,225,121,21,19,7,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
252_0,143.0,1174.0,20.0,366,176,31,17,4,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
254_0,152.0,1203.0,18.0,79,5,34,15,3,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
255_0,145.0,1167.0,24.0,351,176,21,18,3,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
259_0,160.0,1149.0,26.0,170,176,41,16,2,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
261_0,150.0,1466.0,18.0,359,143,22,18,5,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
263_0,150.0,1121.0,28.0,304,141,31,17,4,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
267_0,162.0,1360.0,15.0,155,152,21,16,4,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
271_0,137.0,1153.0,25.0,408,176,34,16,4,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
273_0,139.0,1185.0,21.0,502,141,21,14,4,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
274_0,143.0,1143.0,20.0,338,141,22,15,5,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
275_0,146.0,1174.0,17.0,146,176,31,18,3,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
278_0,137.0,1148.0,18.0,226,176,31,16,2,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
282_0,157.0,1380.0,21.0,244,176,22,22,2,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
283_0,139.0,1097.0,18.0,247,141,11,28,9,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
284_0,154.0,1429.0,20.0,250,123,21,17,4,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
286_0,140.0,1201.0,22.0,504,141,31,13,3,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
291_0,156.0,1160.0,19.0,121,121,34,16,2,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
293_0,145.0,1127.0,20.0,235,141,21,18,4,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
294_0,137.0,1133.0,23.0,403,141,31,14,3,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
301_0,168.0,1266.0,17.0,65,61,34,35,4,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
307_0,153.0,1379.0,21.0,372,121,31,16,6,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
308_0,150.0,1365.0,19.0,272,141,42,16,7,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
309_0,154.0,1293.0,19.0,188,176,21,16,2,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
310_0,164.0,1333.0,17.0,120,121,41,18,2,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
311_0,148.0,1411.0,18.0,366,142,31,17,5,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
314_0,142.0,1185.0,18.0,296,141,21,16,6,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
316_0,141.0,1227.0,20.0,489,141,21,15,4,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
321_0,152.0,1412.0,20.0,281,121,31,14,4,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
322_0,139.0,1197.0,20.0,458,141,32,20,11,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
326_0,162.0,1332.0,18.0,228,141,12,15,5,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
329_0,138.0,1122.0,22.0,392,176,21,14,3,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
332_0,150.0,1186.0,19.0,196,142,32,16,3,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
334_0,163.0,1269.0,18.0,85,176,34,16,2,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
337_0,163.0,1337.0,18.0,167,122,31,16,4,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
340_0,138.0,1224.0,20.0,450,141,21,16,6,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
342_0,142.0,1206.0,20.0,320,141,42,16,5,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
343_0,142.0,1119.0,19.0,244,141,21,13,3,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
345_0,157.0,1279.0,19.0,78,142,31,19,5,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
347_0,139.0,1225.0,20.0,589,141,12,14,8,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
360_0,160.0,1310.0,23.0,277,121,31,16,5,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
361_0,160.0,1262.0,24.0,207,176,31,17,2,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
363_0,141.0,1156.0,20.0,291,141,31,15,5,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
366_0,150.0,1244.0,19.0,229,176,21,22,4,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
374_0,154.0,1462.0,18.0,241,121,22,14,5,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
377_0,145.0,1183.0,20.0,334,141,41,18,6,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
382_0,150.0,1138.0,27.0,343,141,32,14,5,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
384_0,140.0,1173.0,20.0,429,141,31,22,6,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
387_0,141.0,1174.0,20.0,333,141,21,14,5,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
388_0,146.0,1256.0,19.0,410,141,32,16,10,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
392_0,162.0,1135.0,26.0,143,111,24,27,9,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
400_0,169.0,1277.0,18.0,70,142,24,12,4,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
406_0,138.0,1219.0,20.0,564,141,21,21,7,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
410_0,144.0,1185.0,17.0,211,141,21,15,3,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
416_0,150.0,1153.0,26.0,331,141,31,13,4,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
418_0,147.0,1135.0,26.0,316,141,22,15,4,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
419_0,154.0,1462.0,18.0,206,176,21,18,2,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
420_0,164.0,1350.0,16.0,93,121,24,13,2,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
422_0,143.0,1136.0,26.0,336,122,34,17,3,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
428_0,161.0,1237.0,19.0,111,124,24,15,2,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
430_0,152.0,1224.0,21.0,335,121,31,19,6,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
432_0,148.0,1113.0,28.0,288,141,22,15,2,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
433_0,139.0,1172.0,17.0,248,141,21,15,3,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
436_0,159.0,971.0,26.0,190,142,31,16,3,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
446_0,152.0,1301.0,19.0,205,123,24,17,2,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
451_0,141.0,1188.0,20.0,506,141,22,20,9,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
454_0,167.0,1305.0,16.0,107,142,24,15,3,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
455_0,163.0,1191.0,25.0,171,176,34,18,2,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
457_0,162.0,1256.0,19.0,111,141,34,18,4,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
460_0,162.0,1144.0,26.0,150,176,34,14,2,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
461_0,148.0,1248.0,19.0,393,142,21,19,10,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
462_0,146.0,1203.0,19.0,290,141,22,19,8,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
463_0,146.0,1182.0,20.0,373,142,22,20,7,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
467_0,148.0,1461.0,18.0,398,141,22,16,5,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
468_0,140.0,1171.0,17.0,202,176,31,16,3,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
472_0,136.0,1234.0,20.0,535,141,22,17,4,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
476_0,151.0,1351.0,23.0,544,121,12,21,4,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
477_0,149.0,1221.0,18.0,135,141,31,15,2,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
478_0,159.0,1374.0,19.0,149,142,31,17,5,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
480_0,143.0,1221.0,23.0,486,141,22,18,4,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
483_0,135.0,1227.0,20.0,627,141,11,20,7,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
484_0,139.0,1111.0,19.0,319,141,21,15,3,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
490_0,139.0,1127.0,21.0,382,176,21,17,3,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
494_0,159.0,1287.0,19.0,89,176,34,16,3,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
496_0,151.0,1266.0,20.0,249,121,31,22,8,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
498_0,154.0,1180.0,25.0,302,141,21,19,3,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
499_0,143.0,1251.0,18.0,327,141,21,19,5,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
507_0,168.0,1259.0,19.0,70,190,24,19,2,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
516_0,139.0,1118.0,22.0,374,176,34,16,4,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
517_0,153.0,1155.0,20.0,282,121,41,19,6,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
518_0,141.0,1148.0,19.0,208,141,22,18,8,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
520_0,168.0,1289.0,17.0,85,121,34,15,3,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
535_0,146.0,1180.0,17.0,164,176,31,16,2,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
536_0,155.0,1165.0,18.0,120,176,24,17,2,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
537_0,161.0,1118.0,24.0,139,121,21,18,2,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
539_0,160.0,1155.0,25.0,174,176,34,15,2,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
543_0,149.0,1206.0,23.0,334,141,41,19,5,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
546_0,136.0,1154.0,18.0,290,176,21,11,2,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
550_0,150.0,1283.0,20.0,218,176,31,15,2,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
554_0,139.0,1232.0,20.0,556,141,32,19,6,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
557_0,167.0,1319.0,15.0,66,190,34,25,5,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
558_0,138.0,1236.0,20.0,515,141,31,16,3,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
564_0,162.0,1347.0,20.0,133,142,34,19,4,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
568_0,140.0,1125.0,26.0,324,141,21,16,4,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
569_0,143.0,1147.0,20.0,307,141,22,18,5,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
570_0,147.0,1285.0,19.0,303,121,21,16,3,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
571_0,143.0,1265.0,18.0,296,141,31,14,5,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
572_0,162.0,1134.0,24.0,148,122,34,15,2,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
573_0,159.0,1060.0,25.0,174,176,24,16,3,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
574_0,167.0,1258.0,19.0,65,5,24,26,3,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
575_0,136.0,1146.0,25.0,393,141,31,12,4,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
577_0,154.0,1378.0,21.0,312,176,31,18,2,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
580_0,158.0,887.0,30.0,260,142,32,17,5,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
583_0,146.0,1239.0,19.0,391,141,32,23,8,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
585_0,154.0,1371.0,21.0,353,142,21,15,5,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
588_0,140.0,1201.0,20.0,372,141,41,23,6,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
590_0,140.0,1139.0,19.0,321,141,31,12,4,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
596_0,136.0,1222.0,22.0,624,141,21,13,3,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
600_0,160.0,1353.0,21.0,201,122,21,15,4,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
607_0,149.0,1408.0,18.0,460,141,22,18,7,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
609_0,154.0,1165.0,21.0,353,142,22,18,7,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
611_0,135.0,1224.0,21.0,676,141,21,13,4,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
612_0,157.0,1114.0,21.0,115,5,34,26,3,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
614_0,133.0,1236.0,20.0,671,141,22,16,5,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
615_0,136.0,1219.0,20.0,605,141,22,17,7,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
623_0,143.0,1126.0,20.0,287,176,31,18,3,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
626_0,161.0,1327.0,22.0,215,142,21,19,5,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
632_0,157.0,1053.0,21.0,158,122,24,16,2,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
634_0,149.0,1285.0,19.0,224,176,24,17,2,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
636_0,150.0,1145.0,27.0,347,141,21,16,4,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
639_0,151.0,1200.0,23.0,317,141,32,19,4,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
653_0,145.0,1218.0,21.0,465,121,22,17,5,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
661_0,159.0,1293.0,19.0,71,176,34,16,2,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
663_0,143.0,1138.0,20.0,282,121,21,12,4,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
667_0,141.0,1235.0,20.0,424,141,21,14,5,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
668_0,138.0,1139.0,25.0,363,121,21,16,4,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
669_0,147.0,1140.0,26.0,320,176,24,14,3,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
675_0,141.0,1281.0,18.0,389,141,22,18,7,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
677_0,161.0,1147.0,25.0,182,141,21,15,3,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
682_0,152.0,1314.0,19.0,219,176,24,16,2,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
684_0,162.0,1284.0,19.0,75,176,24,15,3,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
691_0,163.0,1356.0,15.0,123,142,21,14,5,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
692_0,160.0,1251.0,18.0,95,121,41,19,2,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
696_0,150.0,1146.0,26.0,314,141,31,15,4,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
699_0,136.0,1122.0,22.0,398,176,21,16,3,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
705_0,142.0,1203.0,21.0,485,141,21,21,8,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
709_0,165.0,1334.0,15.0,92,122,21,16,5,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
711_0,153.0,1160.0,18.0,169,123,21,23,3,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
719_0,164.0,1269.0,19.0,70,1,34,16,2,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
722_0,135.0,1145.0,24.0,406,122,34,22,5,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
723_0,141.0,1136.0,20.0,331,141,31,11,4,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
724_0,153.0,1244.0,19.0,264,176,21,16,4,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
726_0,158.0,1212.0,19.0,108,176,34,17,3,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
728_0,141.0,1197.0,23.0,449,176,31,15,4,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
731_0,156.0,1325.0,23.0,297,142,32,18,6,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
734_0,143.0,1125.0,19.0,198,176,21,15,3,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
738_0,156.0,1423.0,18.0,177,141,31,15,2,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
741_0,154.0,1177.0,19.0,282,142,31,22,8,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
742_0,138.0,1221.0,20.0,480,141,21,17,6,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
743_0,146.0,1261.0,20.0,253,141,41,15,5,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
747_0,141.0,1215.0,19.0,334,176,21,19,4,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
759_0,142.0,1143.0,20.0,237,141,42,16,5,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
760_0,150.0,1158.0,26.0,335,141,21,13,4,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
763_0,140.0,1130.0,19.0,264,141,21,20,2,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
766_0,141.0,1145.0,23.0,390,124,24,20,3,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
770_0,142.0,1216.0,20.0,448,141,41,20,6,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
